CODE	KOREAN_LABEL	ENGLISH_LABEL
M8742/0	흑자양 멜라닌세포성 모반	Lentiginous melanocytic nevus
M8742/2	흑색점 검정사마귀	Lentigo maligna
M8742/3	흑색점 검정사마귀 흑색종	Lentigo maligna melanoma
M8743/3	적게 누적된 일광 손상 흑색종	Low cumulative sun damage melanoma
M8744/0	사지말단부 모반	Acral nevus
M8744/3	사지말단부 흑색종	Acral melanoma
M8745/3	결합조직형성 흑색종, NOS	Desmoplastic melanoma, NOS
M8746/3	점막성 흑자양 흑색종	Mucosal lentiginous melanoma
M8750/0	피부 모반	Dermal nevus
M8760/0	복합모반	Compound naevus
M8761/0	선천성 멜라닌세포성 모반, NOS	Congenital melanocytic nevus, NOS
M8761/1	거대색소성 모반, NOS	Giant pigmented naevus, NOS
M8761/3	거대 선천성 모반내 발생 악성 흑색종	Malignant melanoma arising in giant congenital nevus
M8762/1	선천성 모반내의 증식성 피부 병변	Proliferative dermal lesion in congenital naevus
M8770/0	상피모양 및 방추세포 모반	Epithelioid and spindle cell naevus
M8770/3	악성 스피츠 종양	Malignant Spitz tumor
M8771/0	상피모양 세포 모반	Epithelioid cell naevus
M8771/3	상피모양 세포 흑색종	Epithelioid cell melanoma
M8772/0	방추세포 모반, NOS	Spindle cell naevus, NOS
M8772/3	방추세포 흑색종, NOS	Spindle cell melanoma, NOS
M8773/3	A형 방추세포 흑색종	Spindle cell melanoma, type A
M8774/3	B형 방추세포 흑색종	Spindle cell melanoma, type B
M8780/0	청색모반, NOS	Blue naevus, NOS
M8780/1	색소성 상피모양 멜라닌세포종	Pigmented epithelioid melanocytoma
M8780/3	악성 청색모반	Blue naevus, malignant
M8790/0	세포성 청색모반	Cellular blue naevus
M8800/0	양성 연조직 종양	Soft tissue tumour, benign
M8800/3	육종, NOS	Sarcoma, NOS
M8801/3	방추세포 육종	Spindle cell sarcoma
M8802/1	다형성 유리질화 혈관확장성 종양	Pleomorphic hyalinizing angiectatic tumor
M8802/3	거대세포 육종(뼈의 M9250/3 제외)	Giant cell sarcoma(except of bone M9250/3)
M8803/3	소세포 육종	Small cell sarcoma
M8804/3	상피모양 육종	Epithelioid sarcoma
M8805/3	미분화된 육종	Undifferentiated sarcoma
M8806/3	결합조직형성 소원형세포 종양	Desmoplastic small round cell tumour
M8810/0	섬유종(힘줄집의 M8813/0 제외), NOS	Fibroma(except of tendon sheath M8813/0), NOS
M8810/1	세포성 섬유종	Cellular fibroma
M8810/3	섬유육종, NOS	Fibrosarcoma, NOS
M8811/0	섬유점액종	Fibromyxoma
M8811/1	점액염증성 섬유모세포성 육종	Myxoinflammatory fibroblastic sarcoma
M8811/3	점액섬유육종	Myxofibrosarcoma
M8812/0	골막의 섬유종	Periosteal fibroma
M8812/3	골막의 섬유육종	Periosteal fibrosarcoma
M8813/0	힘줄집의 섬유종	Fibroma of tendon sheath
M8813/3	근막 섬유육종	Fascial fibrosarcoma
M8814/3	영아성 섬유육종	Infantile fibrosarcoma
M8815/0	고립성 섬유성 종양/혈관주위세포종, 등급 1	Solitary fibrous tumor/Haemangiopericytoma, grade 1
M8815/1	고립성 섬유성 종양, NOS	Solitary fibrous tumor, NOS
M8815/3	악성 고립성 섬유성 종양	Solitary fibrous tumor, malignant
M8816/0	석회화 건막성 섬유종	Calcifying aponeurotic fibroma
M8817/0	석회화 섬유성 종양	Calcifying fibrous tumor
M8820/0	탄력섬유종	Elastofibroma
M8821/1	공격성 섬유종증	Aggressive fibromatosis
M8822/1	복부섬유종증	Abdominal fibromatosis
M8823/0	경화성 섬유종	Sclerotic fibroma
M8823/1	결합조직형성 섬유종	Desmoplastic fibroma
M8824/0	근섬유종	Myofibroma
M8824/1	근섬유종증	Myofibromatosis
M8825/0	근섬유모세포종	Myofibroblastoma
M8825/1	근섬유모세포성 종양, NOS	Myofibroblastic tumour, NOS
M8825/3	근섬유모세포성 육종	Myofibroblastic sarcoma
M8826/0	혈관근섬유모세포종	Angiomyofibroblastoma
M8827/1	기관지주위의 근섬유모세포성 종양	Myofibroblastic tumour, peribronchial
M8830/0	양성 섬유성 조직구종, NOS	Benign fibrous histiocytoma, NOS
M8830/1	비정형 섬유성 조직구종	Atypical fibrous histiocytoma
M8830/3	악성 섬유성 조직구종	Malignant fibrous histiocytoma
M8831/0	조직구종, NOS	Histiocytoma, NOS
M8832/0	피부섬유종, NOS	Dermatofibroma, NOS
M8832/1	융기성 피부섬유육종, NOS	Dermatofibrosarcoma protuberans, NOS
M8832/3	섬유육종성 융기성 피부섬유육종	Dermatofibrosarcoma protuberans, fibrosarcomatous
M8833/1	색소성 융기성 피부섬유육종	Pigmented dermatofibrosarcoma protuberans
M8834/1	거대세포 섬유모세포종	Giant cell fibroblastoma
M8835/1	총상의 섬유조직구 종양	Plexiform fibrohistiocytic tumour
M8836/1	혈관종성 섬유성 조직구종	Angiomatoid fibrous histiocytoma
M8840/0	점액종, NOS	Myxoma, NOS
M8840/3	점액육종	Myxosarcoma
M8841/0	혈관점액종, NOS	Angiomyxoma, NOS
M8842/0	골화성 섬유점액모양 종양, NOS	Ossifying fibromyxoid tumour, NOS
M8842/3	악성 골화성 섬유점액모양 종양	Ossifying fibromyxoid tumor, malignant
M8850/0	지방종, NOS	Lipoma, NOS
M8850/1	비정형적 지방종성 종양	Atypical lipomatous tumor
M8850/3	지방육종, NOS	Liposarcoma, NOS
M8851/0	섬유지방종	Fibrolipoma
M8851/1	지방섬유종증	Lipofibromatosis
M8851/3	고분화된 지방육종, NOS	Liposarcoma, well differentiated, NOS
M8852/0	섬유점액 지방종	Fibromyxolipoma
M8852/3	점액모양 지방육종	Myxoid liposarcoma
M8853/3	원형세포 지방육종	Round cell liposarcoma
M8854/0	다형성 지방종	Pleomorphic lipoma
M8854/3	다형성 지방육종	Pleomorphic liposarcoma
M8855/3	혼합된 지방육종	Mixed liposarcoma
M8856/0	근육내 지방종	Intramuscular lipoma
M8857/0	방추세포 지방종	Spindle cell lipoma
M8857/3	섬유모세포성 지방육종	Fibroblastic liposarcoma
M8858/3	역분화된 지방육종	Dedifferentiated liposarcoma
M8860/0	혈관근지방종	Angiomyolipoma
M8860/1	상피모양 혈관근지방종	Angiomyolipoma, epithelioid
M8861/0	혈관지방종, NOS	Angiolipoma, NOS
M8862/0	연골모양의 지방종	Chondroid lipoma
M8870/0	골수지방종	Myelolipoma
