TYPE	NAME	ABBREVIATION	TERM
4	Surveys	SURVEY.MISC	Miscellaneous survey
4	Surveys	SURVEY.MLHFQ	Minnesota Living with Heart Failure Questionnaire (MLHFQ)
4	Surveys	SURVEY.MTLHLTH	Mental Health survey
4	Surveys	SURVEY.NEURO	Neurological survey
4	Surveys	SURVEY.NEUROQ	Quality of Life Outcomes in Neurological Disorders (NeuroQol) survey
4	Surveys	SURVEY.NHANES	National Health and Nutrition Examination Survey (NHANES)
4	Surveys	SURVEY.NHCS	National Health Care Survey (NHCS)
4	Surveys	SURVEY.NICHQ	ADHD Questionnaire
4	Surveys	SURVEY.NIDA	National Institure of Drug Abuse
4	Surveys	SURVEY.NIH_TOOLBOX	NIH Toolbox
4	Surveys	SURVEY.NIH.EMO	NIH Toolbox Emotion Domain
4	Surveys	SURVEY.NMMDS	Nursing Management Minimum Data Survey (NMMDS)
4	Surveys	SURVEY.NORTON	Norton Scale survey
4	Surveys	SURVEY.NSRAS	Neonatal Skin Risk Assessment Scale (NSRAS)
4	Surveys	SURVEY.NURSE.HHCC	Home Health Care Classification (HHCC) survey
4	Surveys	SURVEY.NURSE.HIV-SSC	Signs and Symptoms Checklist (SSC) for persons living with HIV survey
4	Surveys	SURVEY.NURSE.LIV-HIV	Living with HIV survey
4	Surveys	SURVEY.NURSE.OMAHA	OMAHA survey
4	Surveys	SURVEY.NURSE.QAM	Quality Audit Marker (QAM) survey
4	Surveys	SURVEY.OASIS	Outcome and Assessment Information Survey (OASIS)
4	Surveys	SURVEY.OPTIMAL	Outpatient Physical Therapy Improvement in Movement and Assessment Log (OPTIMAL)
4	Surveys	SURVEY.ORTHOPEDICS	Orthopedics surveys
4	Surveys	SURVEY.PAIN	Pain surveys
4	Surveys	SURVEY.PAS	Patient Activity Scale (PAS)
4	Surveys	SURVEY.PASII	Patient Activity Scale II (PAS-II)
4	Surveys	SURVEY.PCORNET	Patient Centered Outcomes Research Network (PCORnet) Common Data Model (CDM)
4	Surveys	SURVEY.PEG	Pain intensity, Enjoyment of life, General activity (PEG)
4	Surveys	SURVEY.PHQ	Patient Health Questionnaire (PHQ)
4	Surveys	SURVEY.PNDS	Perioperative Nursing Dara Set(PNDS) survey
4	Surveys	SURVEY.PRAPARE	Protocol for Responding to and Assessing Patients Assets Risks and Experiences (PRAPARE)
4	Surveys	SURVEY.PROMIS	Patient Reported Outcomes Measurement System (PROMIS) survey
4	Surveys	SURVEY.PROWL	Patient Reported Outcomes with LASIC surveys
4	Surveys	SURVEY.QRDA	Quality Health Reporting Document Architecture (QRDA) survey
4	Surveys	SURVEY.R-OUTCOMES	R-Outcomes survey
4	Surveys	SURVEY.RFC	Residual Functional Capacity (RFC) survey
4	Surveys	SURVEY.RMDQ	Roland Morris Disability Questionnaire
4	Surveys	SURVEY.RSS	Ramsay Sedation Scale
4	Surveys	SURVEY.RUDAS	Rowland Universal Dementia Assessment Scale (RUDAS)
4	Surveys	SURVEY.SAMHSA	Substance Abuse and Mental Health Services Administration (SAMHSA) survey
4	Surveys	SURVEY.SDOH	Social Determinants of Health
4	Surveys	SURVEY.SEEK	Safe Environment for Every Kid
4	Surveys	SURVEY.SLP	Speech-language parthology(SLP) surveys
4	Surveys	SURVEY.UNMETHELNEED	SURVEY.UNMETHELNEED
4	Surveys	SURVEY.USSGFHT	United States Surgeon General Family Health Tool (USSGFHT) survey
