TYPE	NAME	ABBREVIATION	TERM
2	Clinical	VOLUME.MOLEC	Volume (specimen) molecular
3	Claims Attachment	ATTACH	Attachment
3	Claims Attachment	ATTACH.AMB	Ambulance attachment
3	Claims Attachment	ATTACH.CARD	Cardiac attachment
3	Claims Attachment	ATTACH.CLINRPT	Clinical report attachment
3	Claims Attachment	ATTACH.CPHS	Children's Preventative Health System attachment
3	Claims Attachment	ATTACH.ED	Emergency department attachment
3	Claims Attachment	ATTACH.GENERAL	General attachment
3	Claims Attachment	ATTACH.GI	Gastrointestinal attachment
3	Claims Attachment	ATTACH.LAB	Laboratory attachment
3	Claims Attachment	ATTACH.MEDS	Medication attachment
3	Claims Attachment	ATTACH.MODIFIER	Modifier attachment
3	Claims Attachment	ATTACH.OBS	Obstetrics attachment
3	Claims Attachment	ATTACH.PERIODONTAL	Periodontal attachment
3	Claims Attachment	ATTACH.REHAB	Rehabilitation attachment
3	Claims Attachment	ATTACH.REHAB.ABUSE	Alcohol/Substance abuse rehabilitation attachment
3	Claims Attachment	ATTACH.REHAB.CARDIAC	Cardiac rehabilitation attachment
3	Claims Attachment	ATTACH.REHAB.NURS	Specialized nursing attachment
3	Claims Attachment	ATTACH.REHAB.OT	Occupational therapy attachment
3	Claims Attachment	ATTACH.REHAB.PSYCH	Psychiatric rehabilitation attachment
3	Claims Attachment	ATTACH.REHAB.PT	Physical rehabilitation attachment
3	Claims Attachment	ATTACH.REHAB.PULM	Pulmonary rehabilitation attachment
3	Claims Attachment	ATTACH.REHAB.RT	Respiratory rehabilitation attachment
3	Claims Attachment	ATTACH.REHAB.SOCIAL	Medical social work attachment
3	Claims Attachment	ATTACH.REHAB.SPEECH	Speech therapy rehabilitation attachment
3	Claims Attachment	ATTACH.RESP	Respiratory attachment
3	Claims Attachment	PANELATTACH.MOD	Modifier attachment panel
4	Surveys	PANELSURVEY.AAOS	American Academy of Orthopaedic Surgeons
4	Surveys	PANELSURVEY.ACT	Asthma Control Test(ACT) set
4	Surveys	PANELSURVEY.ADVAULT	ADVault survey set
4	Surveys	PANELSURVEY.AHRQ	Agency for Healthcare Research and Quality (AHRQ) survey set
4	Surveys	PANELSURVEY.ALSFRSR	ALS Functional Rating Scale - Revised set
4	Surveys	PANELSURVEY.AMNART	American National Adult Reading Test (AmNART) set
4	Surveys	PANELSURVEY.BADS	Brief Axiety and Depression Scle set
4	Surveys.PANELSURVEY.BCAT	Brief Cognitive Assessment Tool set
4	Surveys	PANELSURVEY.BIMS	Brief Interview for Mental Health Status (BIMS) set
4	Surveys	PANELSURVEY.BDI	Beck Depression Inventory (BDI) set
4	Surveys	PANELSURVEY.BPI	Brief Pain Inventory (BPI) set
4	Surveys	PANELSURVEY.BRIEF	BRIEF Health Literacy Screening Tool set
4	Surveys	PANELSURVEY.CAM	Confusion Assessment Method (CAM) set
4	Surveys	PANELSURVEY.CARE	Continuity Assessment Record and Evaluation (CARE) set
4	Surveys	PANELSURVEY.CDC	Centers for Disease Control (CDC) set
4	Surveys	PANELSURVEY.CESD	Center for Epidemiological Studies Depression (CESD) set
4	Surveys	PANELSURVEY.CMS	Centers for Medicare & Medicaid Services set
4	Surveys	PANELSURVEY.COOP	Dartmouth Cooperative Functional Status Test (COOP) set
4	Surveys	PANELSURVEY.CSSRS	Columbia Suicide Severity Rating Scale (CSSRS) set
4	Surveys	PANELSURVEY.DAST	Drug Abuse Screening Test set
4	Surveys	PANELSURVEY.DUKE-AD	Duke Anxiety Depression Scale (DUKE-AD) set
4	Surveys	PANELSURVEY.EPDS	Edinburgh Postnatal Depression Scale Set
4	Surveys	PANELSURVEY.ESRD	End Stage Renal Disease (ESRD) facility survey set
4	Surveys	PANELSURVEY.GDS	Geriatric Depression Scale (GDS) set
4	Surveys	PANELSURVEY.GNHLTH	General Healthy survey set
4	Surveys	PANELSURVEY.GPCOG	General Practitioner Assessment of Cognition (GPCOG) set
4	Surveys	PANELSURVEY.HABC	Healthy Aging Brain Care (HABC) set
4	Surveys	PANELSURVEY.HAQ	Health Assessment Questionnaire (HAQ) set
4	Surveys	PANELSURVEY.HARK	Humiliation, Afraid, Rape, and Kick (HARK) set
4	Surveys	PANELSURVEY.HHCC	Home Health Care Classification set
4	Surveys	PANELSURVEY.HHS	Department of Health and Humsn Services set
4	Surveys	PANELSURVEY.HITS	HITS Survey set
4	Surveys	PANELSURVEY.HIV-SSC	Signs and Symptoms checklist for persons living with HIV set
4	Surveys	PANELSURVEY.howRu	howRU outcomes instrument set
